Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,02/05/10,02/02/10,"Stone Crafter, Wintor Park, FL  32792","Worker was assisting in the delivery of granite slabs using a forklift.  The forklift hit two slabs that fell, striking the worker on the head."
FY 2010,02/05/10,02/03/10,"Apac Southeast, Inc., Winter Haven, FL  33884 ",Worker was in the process of putting equipment on a machine and was found on the ground by other workers; apparent heart attack.
FY 2010,02/05/10,02/03/10,"P.A.M. Transport, Inc., North Jackson, OH  44451 ",Worker was found unresponsive after pulling a tractor trailer into the shop building.
FY 2010,02/05/10,02/03/10,"Palatka Welding Shop Inc., Palm Coast, FL  32164 ","Worker was installing metal roofing and fell 35 feet, hitting the concrete floor."
FY 2010,02/05/10,02/04/10,"Long Foundation Drilling Co., Cullman, AL  35057","Worker was lowered into a 30- to 35-foot deep shaft to perform hand cleaning and to drill a sample test of a rock.  He was being lifted out of the shaft by the use of a pneumatic winch system.  The winch system collapsed into the shaft, striking the worker."
FY 2010,02/05/10,02/04/10,"Schneider National Carriers, Green Bay, WI  54313",Worker was adjusting the wheel location of a trailer and was run over by the trailer of the truck.
FY 2010,02/05/10,02/05/10,"Breeze National Inc., New York, NY  10027",Worker fell from scaffold into a window opening and 20 feet down an elevator shaft.
FY 2010,02/05/10,02/06/10,"Green Circle Bio Energy, Inc., Cottondale, FL  32431",Worker received severe steam burns to his lungs during the clinker material clearing process.
FY 2010,02/05/10,02/13/10,"Dynamic Wireless, Haskell, AR  72012",Worker was disassembling a communication tower and fell 98 feet to the ground.
FY 2010,02/12/10,01/14/10,"Mercy Medical Center, Mason City, IA 50401","Worker noticed the sodium hydroxide pipe was leaking. He tried to stop the leak and got sodium hydroxide on himself. After cleaning the spill, the worker took a shower and collapsed and died."
FY 2010,02/12/10,01/21/10,"Delta Air Lines Inc., Seattle, WA 91858",Worker was operating a tug vehicle that transfers luggage from terminals to airplanes. The tug collided with a food service truck. The worker was ejected from the tug and struck his head on the pavement. He was transferred to the hospital where he later died.
FY 2010,02/12/10,01/27/10,"Borinquen Metal Scrap Corp., Gurabo, PR 00778","While working on a metal roof, the aluminum metal sheet, which was deteriorated, broke. The worker fell to the ground, later dying at the hospital."
FY 2010,02/12/10,02/03/10,"Odele Incorporated, Morgantown, KY 47307",Workers were painting a newly constructed sludge pit. Worker turned to find other worker slumped down by the wall.
FY 2010,02/12/10,02/07/10,"Coverflex, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  One worker fatality."
FY 2010,02/12/10,02/07/10,"Instrument Sciences and Technology, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  One worker fatality."
FY 2010,02/12/10,02/07/10,"Julies Café LLC, Green Bay, WI  54301","Worker slipped at work, fracturing ankle.  Worker died of blood clots two days later."
FY 2010,02/12/10,02/07/10,"Keystone Construction & Maintenance, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  There were three fatalities."
FY 2010,02/12/10,02/08/10,"Alpine Courier Inc, Hillsboro, OR 97124",Worker was caught between the back of a semi-trailer and a loading dock. He was transported to the hospital where he later died.
FY 2010,02/12/10,02/08/10,"AT&T, Orlando, FL  32826",Worker was shot by an unknown assailant in the parking lot and was hospitalized; shooter then committed suicide.
FY 2010,02/12/10,02/08/10,"East Alabama Paving Company, Inc., Opelika, AL  36804",Worker was struck by a dump truck.
FY 2010,02/12/10,02/08/10,"Matuia & Matuia Construction, Inc., Lake Jackson, TX  77566",Worker entered a manhole in an abandoned sewer line to remove a cap from a vent line and fell 7to 10 feet from a ladder.
FY 2010,02/12/10,02/08/10,"Texas Disposal, Austin, TX  78610","Workers were working under the chassis of a water pump that was up on four jack stands.  One of the jacks was removed and the water pump came down, crushing the worker."
FY 2010,02/12/10,02/09/10,"Quality Surface Processing, Schofield, WI  54476","Worker was dipping a metal part into a heated bath and an explosion occurred, burning worker."
FY 2010,02/12/10,02/10/10,"JD Enterprises Inc., Laramie, WY, 82070",Excavator broke through ice coming to rest on its side and entrapping worker underwater.
FY 2010,02/12/10,02/10/10,"Time Warner Cable, Wichita Falls, TX  76306",Worker fell out of bucket truck after his truck was struck by another vehicle.
FY 2010,02/12/10,02/10/10,"Unknown, El Segundo, CA 90245",Worker suffered heart attack and died while sweeping water from the roof of an apartment building. (Inspection planned)
FY 2010,02/12/10,02/10/10,"Volunteers of America of Ohio, Cleveland, OH  44110",Worker was assaulted by a homeless veteran.
FY 2010,02/12/10,02/11/10,"D&S Tree Service, Inc., Marion IL  62959","Worker was using a wood chipper to process branches from a tree trimming job.  The chipper discharge chute clogged up and the worker removed the pin that held the access panel down over the cutterwheel.  The cutterwheel was still rotating and discharged wood material against the access panel, which flipped open and the worker was hit in the face and forehead with the handle of the access panel."
FY 2010,02/12/10,02/12/10,"Batzli Excavating Company Inc., East Rochester, OH  44625",Worker was emptying rock salt out of the back of his dump truck with a spreader.  His arm was caught in the rotating auger distribution system.
FY 2010,02/12/10,02/12/10,"Uptowner Inns Inc. dba Holiday Inn Hotel and Suite, Huntington, WV  25701",Worker was exposed to a chemical stripping agent and suffered respiratory pain / illness due to poor ventilation.
FY 2010,02/19/10,02/09/10,"KAL Services, Inc. dba Midwest Sanitation, Oskaloosa, IA 52577",Worker was trying to grab a large piece of cardboard out of the back of the garbage truck when the driver began to close the tailgate. The driver heard the worker and opened it. The worker who had been caught by the tailgate was transported to the hospital where he later died.
FY 2010,02/19/10,02/15/10,"Carr & Sons, Masonry, Inc., Clearwater, FL  33767",Worker was working on a column and fell over safety rail from the second level.
FY 2010,02/19/10,02/15/10,"Suburban Tire Company, St. Charles, IL  60174",Worker was crushed between the ground and the arm of an automotive lift.
FY 2010,02/19/10,02/16/10,"Galland Henning Nopak, Inc., West Milwaukee, WI  53215","Worker was working in the yard moving a piece of steel with an overhead crane.  The piece fell, crushing the worker."
FY 2010,02/19/10,02/16/10,"J & M Construction, McLoud, OK  74851",Worker was attempting to tie into a main water line that was 17 to 20 feet underground when the trench collapsed.
FY 2010,02/19/10,02/16/10,"Southland Steel Fabricators, Baton Rouge, LA  70816","Worker was working from a manlift connecting a beam.  The beam being held by a crane, shifted and hit the manlift knocking the worker from the manlift, 14 to16 feet to the ground."
FY 2010,02/19/10,02/17/10,"Duncan Oil Co., South Charleston, OH  45368","Worker was refilling aboveground fuel oil tanks from a tank truck.  He had walked behind the truck and bent over, his coat was caught in the power take-off."
FY 2010,02/19/10,02/17/10,"Eaton Corporation, Belmond, IA 50421","Worker, a machine operator, was using a grinding machine and the grinding wheel on the machine broke into pieces. One piece of the wheel struck the worker in the face. The worker died instantly."
FY 2010,02/19/10,02/17/10,"Elco Oil LLC, Beggs, OK  74421","Worker was draining a tank; one of the employees climbed to the top of the tank and lit a cigarette and waved it over the opening in the tank.  The tank exploded, killing the worker."
FY 2010,02/19/10,02/17/10,"Jeff Schoenfelder Farms, Rochester, Minnesota 55904",Worker found unconscious in a hog barn.
FY 2010,02/19/10,02/17/10,"The Clarion Hotel & Conference Center, Shepherdstown, WV  25443","Worker was working in the kitchen area and fainted / fell to the floor, grabbing hold of a deep fryer, spilling hot grease out onto her and burning 30 percent of her body."
FY 2010,02/19/10,02/18/10,"Total I.T. Solutions, Pearl, MS  39208",Worker was removing an antenna from a hangar roof.  He was walking a beam and stepped off and fell through the roof of the hangar.
FY 2010,02/19/10,02/19/10,"Nationwide Scrap, LLC, Brooklyn, NY  11385",Worker was struck by a powered industrial truck that was loading paper bales into a semi-trailer.
FY 2010,02/19/10,02/20/10,"Mountain State Carbon, LLC, Follansbee, WV  26037",Worker was traveling underneath a coal transfer belt.  A large icicle broke away from the belt structure and fell onto the worker.
FY 2010,02/26/10,02/04/10,"Hansell Mitzel Homes LLC, Mt. Vernon, WA 98273",Worker was crushed by the bulldozer he was operating. He was transported to the hospital where he later died.
FY 2010,02/26/10,02/14/10,"Severstal Sparrows Point, LLC, Sparrows Point, MD 21219",Worker was descending from the cab/platform built into the side of the vehicle. The worker fell backwards and landed on the concrete floor.
FY 2010,02/26/10,02/16/10,"Sound Storage Management, Everett, WA 98201",Worker was bitten by a customer's dog at a gated storage facility while on duty. Worker passed away two days later at the hospital from blood poisoning related to the dog bite.
FY 2010,02/26/10,02/18/10,"A to Z Island Maintenance, Inc., Chinquapin, NC 28521","Six workers were installing bracing to trusses while working on/inside the web of the trusses with two workers on the ground. The trusses collapsed/rolled. Two workers fell from the trusses and were injured. One worker, the ground man, was cutting lumber to length. He was killed when the trusses fell on him."
FY 2010,02/26/10,02/18/10,"Gary Pellandini Dairy, Galt, CA 95632","Worker was moving hay out of a barn from a height of 10 to 12 feet. He fell and received head trauma, from which he died."
FY 2010,02/26/10,02/18/10,"Lewis Tree Service, Inc., Troy, NC 27371",Worker was struck on the head by a tree limb while felling a tree.
FY 2010,02/26/10,02/18/10,"Peninsula Packaging Co., LLC, Wilson, NC 27893",Worker was performing maintenance on an extruder machine. He was discovered caught in the machine by the plant manager. He was pronounced dead at the scene.
FY 2010,02/26/10,02/18/10,State of MD Department of Juvenile Services/Chettenham,Worker was murdered.
FY 2010,02/26/10,02/21/10,"Celina Aluminum Precision Technology, Inc., Celina, OH  45822","Worker was troubleshooting a Makino, multi-axis, computer numerical controlled (CNC) machine; the machine activated and the worker's head was impaled by the tooling spindle."
FY 2010,02/26/10,02/22/10,"Center Point Energy, Baytown, TX  77521",Worker was climbing a tower at a height of 58 feet and began having convulsions.
FY 2010,02/26/10,02/22/10,"City of Chicago Police Department, Chicago, IL 60653",Police officer was involved in a vehicle accident with a marked car. Apparently he struck a pole and tree and was pronounced dead at the hospital.
FY 2010,02/26/10,02/22/10,"County of Cleveland - Self-McNeilly Solid Waste Management Facility, Shelby, NC 28150",Worker was working as a landfill spotter. He was behind a CAT 836G compactor and the operator of the compactor did not see him. The operator of the compactor backed over the worker. He was taken to the hospital where he later died.
FY 2010,02/26/10,02/22/10,"George J. Roll & Sons, Inc., Blue Island, IL  60406",Worker was attempting to find the problem of a hydraulic flatbed truck.  He rose up the flatbed and positioned himself beneath the raised flatbed and the frame.  The hydraulics gave way and the worker was crushed.
